MARKE,KOMERCINIS_PAV,ELEKTRINE_TP,APSKRITIS,PIRM_REG_METAI_LT
MERCEDES-BENZ,EQC 400 4MATIC,Y,Šiaulių,2023-12
VOLVO,XC40,Y,Vilniaus,2023-10
VOLVO,FH ELECTRIC,Y,Vilniaus,2023-10
AUDI,Q4 50 E-TRON,Y,Klaipėdos,2023-11
TESLA,MODEL 3,Y,Vilniaus,2023-11
VOLKSWAGEN. VW,ID.3 PRO S 150 KW,Y,Vilniaus,2023-12
BAYER.MOT.WERKE-BMW BMW,IX XDRIVE40,Y,Klaipėdos,2023-10
HYUNDAI,IONIQ5,Y,Vilniaus,2023-12
MG,MG MARVEL R ELECTRIC,Y,Utenos,2023-11
JINPENG,AMY,Y,Vilniaus,2023-12
TESLA,MODEL 3,Y,Vilniaus,2023-12
TESLA,MODEL 3,Y,Vilniaus,2023-11
TESLA,MODEL S,Y,Vilniaus,2023-12
VOLKSWAGEN,ID.4 PRO S,Y,Kauno,2023-12
DFSK,SERES 3,Y,Kauno,2023-10
Volkswagen. VW,ID.4 PRO 150 KW,Y,Klaipėdos,2023-11
ALTAS AUTO,ALTAS NOVUS,Y,Kauno,2023-10
HYUNDAI,IONIQ5,Y,Kauno,2023-10
TESLA,MODEL Y,Y,Vilniaus,2023-10
FORD,MUSTANG MACH-E,Y,Klaipėdos,2023-11
TESLA,MODEL 3,Y,Vilniaus,2023-12
KIA,NIRO,Y,Vilniaus,2023-12
VOLVO,XC40,Y,Vilniaus,2023-10
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Kauno,2023-10
BMW,IX XDRIVE40,Y,Vilniaus,2023-10
GEELY,GEELY ZEEKR 001,Y,Vilniaus,2023-11
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2023-11
TESLA,MODEL 3,Y,Kauno,2023-11
AUDI,Q4 40 E-TRON,Y,Klaipėdos,2024-01
RENAULT,MEGANE E-TECH ELECTRIC,Y,Vilniaus,2023-12
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Vilniaus,2023-10
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Kauno,2023-11
FORD,MUSTANG MACH-E,Y,Klaipėdos,2023-12
KIA,EV6,Y,Kauno,2023-11
TOYOTA,PROACE CITY ELECTRIC,Y,Vilniaus,2023-11
KIA,EV6,Y,Alytaus,2023-10
HYUNDAI,IONIQ,Y,Šiaulių,2023-11
DACIA,SPRING,Y,Šiaulių,2023-11
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-09
PEUGEOT,ION,Y,Kauno,2022-10
KIA,E -SOUL/GOLD/UVO/LR/64.0 KWH/AT/,Y,Kauno,2021-10
JEEP,AVENGER,Y,Alytaus,2024-03
CHEVROLET,BOLT EV,Y,Panevėžio,2024-01
VOLKSWAGEN. VW,ID. BUZZ PRO 150 KW,Y,Vilniaus,2024-03
VOLVO,EX30,Y,Vilniaus,2024-06
YADEA,E8S. YADEA E8S. YD-EM296,Y,Klaipėdos,2024-05
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2024-06
HYUNDAI,KONA. KAUAI,Y,Panevėžio,2024-03
MORE RAN,CITYCOCO,Y,Utenos,2024-02
BMW,I5 EDRIVE40,Y,Telšių,2024-01
SKODA,ENYAQ 80,Y,Vilniaus,2024-04
RENAULT,MEGANE E-TECH ELECTRIC,Y,Panevėžio,2024-06
AIXAM,S9,Y,Vilniaus,2024-05
KIA,SOUL,Y,Marijampolės,2024-01
SUPER SOCO,TS STREET HUNTER,Y,Vilniaus,2024-05
TESLA,MODEL Y,Y,Kauno,2024-05
OPEL,AMPERA-E,Y,Vilniaus,2024-03
HYUNDAI,IONIQ6,Y,Vilniaus,2024-01
AUDI,E-TRON SPORTBACK 55,Y,Vilniaus,2022-04
BMW,I4 M50,Y,Klaipėdos,2023-05
SUBARU,SOLTERRA,Y,Vilniaus,2024-05
VOLKSWAGEN. VW,ID.4 PRO 210KW,Y,Vilniaus,2024-02
AUDI,Audi e-tron,Y,Vilniaus,2024-06
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-10
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
NISSAN,LEAF,Y,Panevėžio,2024-01
JINPENG,XD,Y,Vilniaus,2024-04
Volkswagen. VW,ID.4 PRO 150 KW,Y,Kauno,2024-05
MERCEDES-BENZ,EQE 350,Y,Kauno,2023-05
HYUNDAI,IONIQ5,Y,Vilniaus,2024-02
TESLA,MODEL S,Y,Kauno,2024-06
AUDI,E-TRON,Y,Vilniaus,2024-06
VOLKSWAGEN. VW,ID.4 PRO 150KW,Y,Kauno,2024-04
VOLKSWAGEN. VW,ID. BUZZ PRO 150 KW,Y,Vilniaus,2024-04
TESLA,MODEL Y,Y,Kauno,2024-03
TESLA,MODEL Y LONG RANGE,Y,Kauno,2024-02
CUPRA,BORN 170 KW 58/62 KWH,Y,Vilniaus,2024-05
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Vilniaus,2022-06
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Kauno,2024-04
YIDE,ELECTRICAL SCOOTER,Y,Klaipėdos,2021-10
AUDI,AUDI E-TRON,Y,Klaipėdos,2023-04
VW,ID4 PRO AWD,Y,Vilniaus,2024-03
SKODA,ENYAQ 60,Y,Vilniaus,2022-10
TESLA,MODEL 3,Y,Klaipėdos,2024-02
NISSAN,NISSAN ARIYA,Y,Klaipėdos,2024-05
TESLA,MODEL 3,Y,Klaipėdos,2024-02
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Alytaus,2024-04
TESLA,MODEL Y,Y,Vilniaus,2024-04
MERCEDES-BENZ,EQC 400 4MATIC,Y,Vilniaus,2024-02
LEXUS,LEXUS RZ450E,Y,Utenos,2024-04
TESLA,MODEL Y,Y,Telšių,2022-03
AUDI,Q8 55 E-TRON,Y,Kauno,2023-07
HYUNDAI,KONA. KAUAI,Y,Klaipėdos,2024-03
MORE RAN,CITYCOCO,Y,Tauragės,2024-02
BMW,IX XDRIVE50,Y,Vilniaus,2024-05
SEAT,MII,Y,Klaipėdos,2024-01
AUDI,E-TRON,Y,Vilniaus,2022-07
SUNRA,HAWK,Y,Kauno,2021-07
MORE RAN,CITYCOCO,Y,Telšių,2024-02
AUDI,Q4 40 E-TRON,Y,Vilniaus,2024-04
E-MAX,VT-120LD,Y,Kauno,2024-06
TESLA,MODEL 3 LONG RANGE AWD,Y,Kauno,2023-03
SUBARU,SOLTERRA,Y,Vilniaus,2023-02
JINPENG,DLS150,Y,Vilniaus,2024-04
TESLA,MODEL 3,Y,Vilniaus,2024-06
TESLA,MODEL 3,Y,Vilniaus,2024-05
VOLVO,C40,Y,Klaipėdos,2024-03
HYUNDAI,KONA. KAUAI,Y,Panevėžio,2024-06
BMW I,BMWI-1,Y,Vilniaus,2024-01
TESLA,MODEL S,Y,Panevėžio,2024-03
MERCEDES-BENZ,EQC 400 4MATIC,Y,Vilniaus,2024-03
PORSCHE,TAYCAN TURBO,Y,Vilniaus,2024-02
YADEA,E8S,Y,Vilniaus,2024-01
TESLA,MODEL 3,Y,Vilniaus,2024-03
HYUNDAI,IONIQ5,Y,Vilniaus,2024-05
BMW,IX XDRIVE40,Y,Kauno,2024-06
TESLA,MODEL S,Y,Vilniaus,2024-01
BMW,I4 EDRIVE40,Y,Tauragės,2024-04
VOLKSWAGEN. VW,ID.5 PRO 150KW,Y,Kauno,2024-04
ECO ZONE,TURTLE03,Y,Klaipėdos,2024-06
JAGUAR,JAGUAR I-PACE,Y,Marijampolės,2024-06
POLESTAR,POLESTAR 2,Y,Vilniaus,2024-05
TESLA,MODEL 3,Y,Kauno,2024-03
FORD,TRANSIT,Y,Vilniaus,2024-05
NISSAN,NISSAN ARIYA,Y,Vilniaus,2024-01
TOYOTA,PROACE,Y,Kauno,2024-01
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Marijampolės,2024-03
FORD,MUSTANG MACH-E. 98 KWH (294 HK) SUV RWD,Y,Kauno,2024-04
VIGOROUS,VISTA-1 PRO,Y,Utenos,2024-06
PEUGEOT,EXPERT,Y,Vilniaus,2024-02
OPEL,MOKKA,Y,Vilniaus,2024-02
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2024-03
NIU,UQI GT SPORT,Y,Vilniaus,2024-04
CITROEN,AMI,Y,Kauno,2024-04
BMW I,i3,Y,Šiaulių,2024-05
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
HYUNDAI,KONA,Y,Kauno,2024-01
TALARIA,STING,Y,Vilniaus,2024-05
CUPRA,BORN 170 KW 58/62 KWH,Y,Vilniaus,2024-03
TESLA,MODEL Y,Y,Šiaulių,2024-02
FORD,TRANSIT,Y,Kauno,2024-05
VOLKSWAGEN. VW,ID.3 PRO S 150 KW,Y,Vilniaus,2024-05
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Vilniaus,2024-04
AUDI,Q4 SPORTBACK 45 E-TRON,Y,Kauno,2024-06
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Vilniaus,2024-05
YADEA,E8S,Y,Kauno,2024-03
PEUGEOT,2008,Y,Klaipėdos,2024-02
RENAULT,TWIZY,Y,Kauno,2024-04
TESLA,MODEL Y,Y,Vilniaus,2024-05
PORSCHE,TAYCAN 4S,Y,Kauno,2024-01
SUNRA,LEO,Y,Kauno,2024-04
SKODA,ENYAQ 85X,Y,Vilniaus,2024-05
VOLKSWAGEN. VW,ID.4 PRO 210KW,Y,Šiaulių,2024-02
HYUNDAI,IONIQ6,Y,Vilniaus,2024-05
VOLVO,EX30,Y,Vilniaus,2024-04
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-04
POLESTAR,2 LONG RANGE SINGLE MOTOR,Y,Kauno,2024-06
MERCEDES-BENZ,EQS 500 4MATIC,Y,Kauno,2024-04
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2024-04
DAYI MOTOR,E-GEN 4.0AL,Y,Klaipėdos,2024-05
MERCEDES-BENZ,EQB 300 4MATIC,Y,Kauno,2024-02
HYUNDAI,IONIQ,Y,Vilniaus,2024-05
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-05
KIA,NIRO,Y,Alytaus,2024-05
LOTUS,ELETRE,Y,Kauno,2024-06
PORSCHE,TAYCAN TURBO,Y,Klaipėdos,2024-05
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2024-05
ECO ZONE,LIEYING,Y,Kauno,2024-01
E-MAX,VT-120LD,Y,Klaipėdos,2024-04
MANGOSTEEN,M2,Y,Klaipėdos,2024-03
HYUNDAI,KONA . KAUAI,Y,Vilniaus,2024-04
TESLA,MODEL Y,Y,Panevėžio,2024-06
SKODA,ENYAQ 80,Y,Kauno,2024-05
DACIA,SPRING,Y,Kauno,2024-03
CITROEN,C-ZERO,Y,Vilniaus,2024-05
HYUNDAI,IONIQ5,Y,Vilniaus,2024-05
SUBARU,SOLTERRA,Y,Alytaus,2024-06
MANGOSTEEN,M1,Y,Panevėžio,2024-06
HYUNDAI,IONIQ,Y,Vilniaus,2024-02
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Panevėžio,2024-01
JINPENG,KING BOX II,Y,Telšių,2024-03
BMW,IX XDRIVE40,Y,Vilniaus,2024-02
AUDI,E-TRON SPORTBACK 55,Y,Kauno,2024-05
BMW I,SERIE I,Y,Vilniaus,2024-06
YADEA,E8S,Y,Kauno,2024-02
TESLA,MODEL X 90D,Y,Alytaus,2024-04
E-MAX,VT-120LD,Y,Vilniaus,2024-04
VOLKSWAGEN. VW,ID.4 PRO 150KW,Y,Klaipėdos,2024-04
NIU,UQI GT PRO,Y,Panevėžio,2024-05
VIGOROUS,LUNAR-Q,Y,Klaipėdos,2024-06
TESLA,MODEL X,Y,Vilniaus,2024-01
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
PORSCHE,TAYCAN GTS,Y,Vilniaus,2024-04
BMW i,I3S,Y,Vilniaus,2024-06
AUDI,Q8 SPORTBACK 55 E-TRON,Y,Kauno,2024-06
SUPER SOCO,TS STREET HUNTER,Y,Vilniaus,2024-03
BMW,I5 EDRIVE40,Y,Kauno,2024-04
VOLVO,EX30,Y,Vilniaus,2024-05
LOTUS,ELETRE,Y,Kauno,2024-06
VOLKSWAGEN. VW,ID.4 GTX 220 KW,Y,Kauno,2024-02
HYUNDAI,KONA,Y,Vilniaus,2024-02
MERCEDES-BENZ,EQE 300,Y,Klaipėdos,2024-06
HYUNDAI,KONA,Y,Vilniaus,2024-03
MAZDA,MAZDA MX-30,Y,Vilniaus,2024-05
HYUNDAI,KONA. KAUAI,Y,Šiaulių,2024-06
TESLA,MODEL 3. ELEKTRO,Y,Vilniaus,2024-06
FORD,TRANSIT,Y,Vilniaus,2024-05
NISSAN,NISSAN ARIYA,Y,Vilniaus,2024-03
VOLKSWAGEN. VW,ID.4 PRO 150KW,Y,Kauno,2024-03
FAW,EHS9,Y,Klaipėdos,2024-01
TESLA,MODEL Y,Y,Utenos,2024-05
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-03
BMW i,I3S,Y,Vilniaus,2024-01
VOLVO,EX30,Y,Kauno,2024-05
TESLA,MODEL S60,Y,Utenos,2024-01
VOLVO,EX30,Y,Vilniaus,2024-06
HYUNDAI,IONIQ5,Y,Vilniaus,2024-06
HYUNDAI,IONIQ6,Y,Vilniaus,2024-05
NISSAN,NISSAN ARIYA,Y,Vilniaus,2024-01
VOLKSWAGEN,GOLF,Y,Klaipėdos,2024-03
TESLA,MODEL 3,Y,Vilniaus,2024-04
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-04
BMW,iX xDrive40,Y,Klaipėdos,2024-03
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Vilniaus,2024-05
HYUNDAI,IONIQ,Y,Vilniaus,2024-01
TESLA,MODEL Y,Y,Vilniaus,2024-06
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-01
TESLA,MODEL Y,Y,Kauno,2024-06
VIGOROUS,T408-1,Y,Vilniaus,2024-04
OPEL,COMBO-E CARGO,Y,Marijampolės,2024-03
FIAT,500e,Y,Marijampolės,2024-05
VOLKSWAGEN. VW,ID.4 PRO 210KW,Y,Vilniaus,2024-03
VOLVO,C40,Y,Klaipėdos,2024-05
FORD,MUSTANG MACH-E,Y,Panevėžio,2024-01
TESLA,MODEL Y,Y,Vilniaus,2024-02
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2024-02
VOLKSWAGEN. VW,ID. BUZZ PRO 150 KW,Y,Vilniaus,2024-03
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2024-06
VOLKSWAGEN,ID.3 PRO 150 KW,Y,Vilniaus,2024-06
TESLA,MODEL 3,Y,Kauno,2024-06
FORD,MUSTANG MACH-E,Y,Vilniaus,2024-05
MERCEDES-BENZ,EQC 400 4MATIC,Y,Utenos,2024-02
MERCEDES-BENZ,EQC 400 4MATIC,Y,Vilniaus,2024-04
ECO ZONE,LIEYING,Y,Vilniaus,2024-02
TESLA,MODEL Y,Y,Kauno,2024-04
SHANSU,EGREEN,Y,Vilniaus,2024-02
JINPENG,DLS150,Y,Klaipėdos,2024-05
VOLVO,EX30,Y,Vilniaus,2024-03
CUPRA,BORN 170 KW 77/82 KWH,Y,Vilniaus,2024-04
TESLA,MODEL Y,Y,Vilniaus,2024-04
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2024-06
AUDI,RS E-TRON GT,Y,Vilniaus,2024-02
VOLVO,C40,Y,Vilniaus,2024-05
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-05
TESLA,MODEL Y,Y,Vilniaus,2024-06
KIA,NIRO. EL 5-DORS AUT. REDUKTIONS GEAR,Y,Kauno,2024-05
TESLA,MODEL 3,Y,Kauno,2024-02
VOLVO,XC40 RECHARGE P8 EAWD,Y,Šiaulių,2024-03
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2024-06
JINPENG,KING BOX II,Y,Vilniaus,2024-02
AUDI,Q8 55 E-TRON,Y,Vilniaus,2024-04
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Šiaulių,2024-03
VOLKSWAGEN. VW,ID.5 GTX 220 KW,Y,Vilniaus,2024-04
VOLKSWAGEN. VW,ID.4 PRO 128 KW,Y,Kauno,2024-02
NISSAN,NISSAN ARIYA,Y,Vilniaus,2024-05
TESLA,MODEL Y,Y,Klaipėdos,2024-06
VOLKSWAGEN,GOLF,Y,Klaipėdos,2024-05
Mercedes-Benz,EQC 400 4MATIC,Y,Panevėžio,2024-02
DACIA,SPRING,Y,Vilniaus,2024-06
TESLA,MODEL S,Y,Kauno,2024-04
XINRI,XZY,Y,Kauno,2024-01
KIA,NIRO,Y,Vilniaus,2024-04
MERCEDES-BENZ,EQA 250+,Y,Kauno,2024-06
TESLA,MODEL S,Y,Marijampolės,2024-06
VOLVO,XC40,Y,Klaipėdos,2024-03
MORE RAN,CITYCOCO,Y,Marijampolės,2024-04
FORD,TRANSIT,Y,Kauno,2024-04
NISSAN,NISSAN ARIYA,Y,Vilniaus,2024-03
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Kauno,2024-06
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2024-02
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2024-04
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-03
KIA,NIRO,Y,Vilniaus,2024-02
VOLVO,EX30,Y,Vilniaus,2024-05
NISSAN,NISSAN ARIYA,Y,Vilniaus,2024-03
VOLKSWAGEN-VW VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Klaipėdos,2024-04
VOLKSWAGEN. VW,ID.3 PRO 107 KW,Y,Kauno,2024-02
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2024-04
VOLKSWAGEN,ID.3 PRO 150 KW. ACEBJCL1FX2,Y,Kauno,2024-06
HYUNDAI,IONIQ5,Y,Vilniaus,2024-05
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2024-04
JEEP,AVENGER,Y,Klaipėdos,2024-05
KIA,SOUL,Y,Vilniaus,2024-03
PORSCHE,TAYCAN 4S,Y,Vilniaus,2024-05
Fiat,500,Y,Vilniaus,2024-05
AUDI,E-TRON GT,Y,Vilniaus,2024-05
AUDI,Q4 55 E-TRON,Y,Vilniaus,2024-05
BMW,I4 EDRIVE40,Y,Vilniaus,2024-06
FORD,MUSTANG MACH-E,Y,Telšių,2024-06
JEEP,AVENGER,Y,Vilniaus,2024-05
MERCEDES-BENZ,EQA 250,Y,Kauno,2024-05
NISSAN,NISSAN ARIYA,Y,Šiaulių,2024-02
VIGOROUS,T408-1,Y,Vilniaus,2024-01
MERCEDES-BENZ,EQS 580 4MATIC,Y,Vilniaus,2024-04
VOLVO,EX30,Y,Vilniaus,2024-04
SKODA,ENYAQ 80,Y,Vilniaus,2024-03
TESLA,MODEL Y,Y,Kauno,2024-04
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2024-05
AUDI,Q8 SPORTBACK 55 E-TRON,Y,Vilniaus,2024-04
RENAULT,MEGANE E-TECH ELECTRIC,Y,Kauno,2024-03
TESLA,MODEL S,Y,Vilniaus,2024-02
OPEL,CORSA,Y,Kauno,2024-06
ROLLS-ROYCE,SPECTRE,Y,Vilniaus,2024-03
TESLA,Model S,Y,Klaipėdos,2024-03
TESLA,MODEL Y,Y,Vilniaus,2024-01
DACIA,SPRING,Y,Vilniaus,2024-05
CUPRA,BORN 150 KW 58/62 KWH,Y,Šiaulių,2024-04
Toyota,TOYOTA BZ4X,Y,Šiaulių,2024-05
KIA,EV6,Y,Vilniaus,2024-01
VOLKSWAGEN,ID.3 PRO 150 KW,Y,Šiaulių,2024-06
JINPENG,KING BOX II,Y,Utenos,2024-02
AUDI,Q8 SPORTBACK 55 E-TRON,Y,Vilniaus,2024-04
NIU,UQI GT PRO,Y,Utenos,2024-04
TOYOTA,TOYOTA BZ4X,Y,Vilniaus,2024-01
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2024-03
FORD,MUSTANG MACH-E,Y,Kauno,2024-04
TESLA,MODEL 3,Y,Vilniaus,2024-05
DACIA,SPRING,Y,Utenos,2024-04
RENAULT,ZOE,Y,Tauragės,2024-05
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2024-04
SURRON,STROM BEE,Y,Vilniaus,2024-04
MORE RAN,CITYCOCO,Y,Vilniaus,2024-06
HYUNDAI,KONA,Y,Vilniaus,2024-03
YADEA,E8S. YADEA E8S. YD-EM296,Y,Vilniaus,2024-06
HYUNDAI,IONIQ6,Y,Vilniaus,2024-03
TESLA,MODEL X 90D,Y,Vilniaus,2024-04
RENAULT,ZOE,Y,Vilniaus,2024-02
BMW,I4 EDRIVE35 GRAN COUPE,Y,Alytaus,2024-05
TESLA,MODEL S,Y,Vilniaus,2024-06
VOLVO,EX30,Y,Vilniaus,2024-02
GREAT WALL MOTOR COMPANY LIMITED,ORA FUNKY CAT,Y,Kauno,2024-05
DACIA,SPRING,Y,Vilniaus,2024-06
NISSAN,LEAF,Y,Kauno,2013-12
NISSAN,NISSAN LEAF,Y,Kauno,2014-12
BMW,I3,Y,Kauno,2017-01
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2018-02
NISSAN,LEAF,Y,Klaipėdos,2020-01
TESLA,MODEL S,Y,Kauno,2019-08
KTM,KTM FREERIDE E-XC,Y,Vilniaus,2020-03
KIA,SOUL EV,Y,Vilniaus,2020-04
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2020-04
KIA,SOUL EV +,Y,Kauno,2020-05
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-03
NISSAN,Nissan e-NV200,Y,Vilniaus,2020-03
KIA,SOUL,Y,Vilniaus,2020-04
TESLA,MODEL 3,Y,Vilniaus,2020-04
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-04
RENAULT,KANGOO EXPRESS Z.E.,Y,Šiaulių,2020-04
CHEVROLET,BOLT,Y,Šiaulių,2020-04
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2020-12
NISSAN,NISSAN LEAF,Y,Klaipėdos,2020-10
HYUNDAI,KONA. KAUAI,Y,Panevėžio,2020-06
NISSAN,LEAF,Y,Utenos,2020-10
NISSAN,LEAF 24KWH,Y,Kauno,2020-10
RENAULT,ZOE,Y,Vilniaus,2021-01
TESLA,MODEL 3,Y,Vilniaus,2020-06
TESLA,MODEL X,Y,Kauno,2020-06
SUNRA,HAWK,Y,Panevėžio,2020-12
AUDI,E-TRON 55,Y,Klaipėdos,2021-02
TESLA,MODEL S,Y,Vilniaus,2020-10
NISSAN,NISSAN LEAF,Y,Vilniaus,2020-10
BMW,I3,Y,Vilniaus,2020-10
SUNRA,HAWK,Y,Alytaus,2020-12
SUNRA,HAWK,Y,Vilniaus,2020-12
RENAULT,ZOE,Y,Vilniaus,2020-11
YADEA,Z3,Y,Kauno,2020-08
NISSAN,LEAF,Y,Kauno,2020-12
RENAULT,ZOE,Y,Vilniaus,2020-11
HYUNDAI,KONA. KAUAI,Y,Klaipėdos,2020-10
BMW i,i3,Y,Vilniaus,2020-06
SUNRA,HAWK,Y,Panevėžio,2020-11
AUDI,E - TRON SPORTBACK 55,Y,Vilniaus,2020-10
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2020-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-06
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-01
JAGUAR,JAGUAR I-PACE,Y,Vilniaus,2020-10
NISSAN,NISSAN LEAF,Y,Vilniaus,2020-10
FIAT,500E,Y,Vilniaus,2020-10
SUNRA,HAWK,Y,Kauno,2020-07
HYUNDAI,KONA. KAUAI,Y,Kauno,2020-12
SUNRA,HAWK,Y,Klaipėdos,2020-07
MANGOSTEEN,M1,Y,Telšių,2020-10
BMW i,i3,Y,Vilniaus,2020-08
NISSAN,LEAF S/SV/SL,Y,Vilniaus,2020-05
SUNRA,HAWK,Y,Marijampolės,2020-11
JIAYUAN,EIDOLA,Y,Telšių,2020-12
HYUNDAI,IONIQ,Y,Kauno,2020-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-08
PORSCHE,TAYCAN TURBO,Y,Vilniaus,2020-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-08
NISSAN,LEAF 24KWH,Y,Vilniaus,2020-11
HYUNDAI,IONIQ,Y,Klaipėdos,2020-12
TESLA,MODEL S,Y,Kauno,2021-01
NISSAN,NISSAN LEAF 30kwh,Y,Vilniaus,2020-08
RENAULT,ZOE,Y,Vilniaus,2021-01
KREIDLER,MSG,Y,Vilniaus,2020-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-06
DOOHAN,DH-05-12,Y,Marijampolės,2020-11
CITROEN,C-ZERO,Y,Telšių,2020-09
JAGUAR,JAGUAR I-PACE,Y,Vilniaus,2020-09
BMW i,i3,Y,Vilniaus,2020-08
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2020-11
RENAULT,ZOE,Y,Vilniaus,2020-11
RENAULT,ZOE,Y,Kauno,2020-08
NISSAN,LEAF,Y,Vilniaus,2021-01
HONDA,HONDA E,Y,Kauno,2020-12
NISSAN,NISSAN LEAF,Y,Kauno,2020-10
NISSAN,LEAF,Y,Klaipėdos,2020-07
RENAULT,ZOE,Y,Kauno,2020-09
SUNRA,HAWK,Y,Klaipėdos,2021-03
PEUGEOT,2008,Y,Klaipėdos,2020-10
BMW i,i3,Y,Vilniaus,2020-08
NISSAN,NISSAN LEAF,Y,Utenos,2020-11
HECHT MOTORS,HECHT COCIS,Y,Telšių,2020-12
LUQI,HL3.0,Y,Vilniaus,2020-09
TESLA,MODEL 3,Y,Vilniaus,2020-07
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2020-07
PEUGEOT,2008,Y,Vilniaus,2021-03
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-10
TESLA,MODEL 3,Y,Kauno,2021-01
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-05
TESLA,MODEL 3,Y,Kauno,2020-08
RENAULT,ZOE,Y,Vilniaus,2020-08
NISSAN,LEAF 30KWH,Y,Vilniaus,2020-11
PEUGEOT,2008,Y,Vilniaus,2020-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2020-08
NISSAN,NISSAN LEAF,Y,Vilniaus,2020-10
NISSAN,NISSAN LEAF 62KWH,Y,Kauno,2020-08
BMW i,SERIE I,Y,Vilniaus,2021-01
NISSAN,LEAF 24KWH,Y,Kauno,2020-11
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Kauno,2020-11
NISSAN,LEAF 24KWH,Y,Klaipėdos,2021-01
BMW i,i3,Y,Vilniaus,2020-09
NISSAN,LEAF 24KWH,Y,Vilniaus,2021-01
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2020-09
BMW i,i3,Y,Klaipėdos,2020-11
TESLA,MODEL 3,Y,Marijampolės,2020-10
PORSCHE,TAYCAN 4S,Y,Kauno,2020-08
KREIDLER,MSG,Y,Vilniaus,2020-08
TESLA,S85,Y,Šiaulių,2020-12
MANGOSTEEN,M1,Y,Vilniaus,2020-08
HONDA,HONDA E,Y,Vilniaus,2020-10
PEUGEOT,2008,Y,Vilniaus,2021-11
HYUNDAI,IONIQ,Y,Kauno,2021-11
NISSAN,NISSAN LEAF 30KWH,Y,Kauno,2021-10
