MARKE,KOMERCINIS_PAV,ELEKTRINE_TP,APSKRITIS,PIRM_REG_METAI_LT
MAZDA,MAZDA MX-30,Y,Kauno,2021-09
DFSK,SERES 3,Y,Vilniaus,2021-11
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Vilniaus,2021-04
NISSAN,NISSAN LEAF 62KWH,Y,Klaipėdos,2021-12
TAZZARI,ZERO,Y,Kauno,2021-08
CITROEN,SPACETOURER,Y,Vilniaus,2021-12
PEUGEOT,208,Y,Vilniaus,2021-10
TESLA,MODEL 3,Y,Vilniaus,2021-08
NISSAN,LEAF 30KWH,Y,Klaipėdos,2021-06
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-06
SUNRA,HAWK,Y,Vilniaus,2021-05
DFSK,SERES 3,Y,Šiaulių,2021-06
E.GO,LIFE 60,Y,Kauno,2021-11
FORD,MUSTANG MACH-E,Y,Vilniaus,2021-11
FIAT,500,Y,Klaipėdos,2021-09
PEUGEOT,208,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2021-09
TESLA,MODEL S,Y,Vilniaus,2021-09
MAZDA,MAZDA MX-30,Y,Vilniaus,2021-07
TESLA MOTORS,MODEL X,Y,Vilniaus,2021-12
OPEL,MOKKA,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-05
CITROEN,E-C4,Y,Vilniaus,2021-10
AUDI,E-TRON PRESTIGE,Y,Kauno,2021-11
YIDE,ELECTRICAL SCOOTER,Y,Alytaus,2021-10
BMW i,I3 EDRIVE BEV 94AH I01 IB1,Y,Kauno,2021-11
PEUGEOT,2008,Y,Vilniaus,2021-11
KIA,NIRO,Y,Vilniaus,2021-06
NISSAN,NISSAN LEAF 30kwh,Y,Vilniaus,2021-10
PEUGEOT,208,Y,Klaipėdos,2021-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-06
JAGUAR,JAGUAR I-PACE,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Vilniaus,2021-09
TESLA,MODEL S 85D,Y,Šiaulių,2021-10
SUNRA,HAWK,Y,Klaipėdos,2021-06
NISSAN,LEAF,Y,Klaipėdos,2021-08
TESLA,MODEL 3,Y,Vilniaus,2021-09
SUNRA,HAWK,Y,Panevėžio,2021-07
KIA,NIRO,Y,Vilniaus,2021-12
PORSCHE,TAYCAN TURBO,Y,Vilniaus,2022-01
BMW i,i3,Y,Kauno,2021-12
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-11
DACIA,SPRING,Y,Vilniaus,2021-11
AUDI,Q4 SPORTBACK 40 E-TRON,Y,Vilniaus,2022-01
AUDI,E-TRON GT,Y,Vilniaus,2021-12
MAZDA,MAZDA MX-30,Y,Klaipėdos,2021-10
RENAULT,ZOE,Y,Vilniaus,2021-06
RENAULT,ZOE,Y,Vilniaus,2021-04
LUQI,HL3.0,Y,Kauno,2021-07
HYUNDAI,KONA. KAUAI,Y,Kauno,2021-12
BMW i,SERIE I,Y,Vilniaus,2021-05
TESLA,MODEL 3,Y,Kauno,2021-05
CITROEN,C-ZERO,Y,Vilniaus,2021-04
MAZDA,MAZDA MX-30,Y,Klaipėdos,2021-09
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-08
HYUNDAI,IONIQ,Y,Kauno,2021-12
NIU,MQI GT SPORT,Y,Kauno,2021-08
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-10
SKODA,ENYAQ 80,Y,Klaipėdos,2021-12
TESLA,MODEL S,Y,Šiaulių,2021-05
SAKURA,JS2A,Y,Vilniaus,2021-08
SKODA,ENYAQ 80,Y,Kauno,2022-01
VOLKSWAGEN,GOLF,Y,Vilniaus,2022-01
SUNRA,HAWK,Y,Tauragės,2021-09
AUDI,E-TRON 50,Y,Vilniaus,2021-05
NISSAN,NISSAN LEAF,Y,Šiaulių,2021-10
TESLA,MODEL 3,Y,Vilniaus,2021-10
TESLA,MODEL 3,Y,Vilniaus,2021-05
RENAULT,ZOE,Y,Vilniaus,2021-09
VOLVO,XC40,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,ID.3 PRO S 150 KW,Y,Vilniaus,2021-12
RENAULT,ZOE,Y,Kauno,2021-12
HYUNDAI,KONA. KAUAI,Y,Klaipėdos,2021-12
RENAULT,ZOE,Y,Vilniaus,2021-10
FIAT,500,Y,Vilniaus,2021-04
PORSCHE,TAYCAN 4S,Y,Vilniaus,2022-01
MAZDA,MAZDA MX-30,Y,Kauno,2021-07
VOLKSWAGEN. VW,CRAFTER,Y,Vilniaus,2021-04
HYUNDAI,KONA,Y,Vilniaus,2021-08
PEUGEOT,2008,Y,Vilniaus,2021-09
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-06
BMW i,SERIE I,Y,Vilniaus,2021-08
NISSAN,LEAF 30KWH,Y,Klaipėdos,2021-08
HYUNDAI,KONA LIMITED,Y,Vilniaus,2021-09
TESLA,MODEL X,Y,Kauno,2022-01
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2022-01
NISSAN,LEAF,Y,Vilniaus,2022-01
RENAULT,ZOE,Y,Vilniaus,2021-07
VOLKSWAGEN. VW,GOLF,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,ID.3 PRO 150 KW,Y,Vilniaus,2021-05
RENAULT,ZOE,Y,Vilniaus,2021-04
BMW i,i3,Y,Vilniaus,2021-10
BMW i,i3,Y,Vilniaus,2021-11
FIAT,500,Y,Kauno,2021-08
RENAULT,ZOE,Y,Kauno,2022-01
HYUNDAI,IONIQ,Y,Klaipėdos,2021-09
TESLA,MODEL 3,Y,Panevėžio,2022-01
XINRI,XZY,Y,Kauno,2021-10
