KIEKIS,PIRM_REG_METAI_LT,PIRM_REG_MEN_LT,PIRM_REG_DIENA_LT
461,2016,11,30
396,2016,12,1
376,2016,12,2
324,2016,12,3
128,2016,12,5
452,2016,12,6
391,2016,12,7
313,2016,12,8
371,2016,12,9
335,2016,12,10
136,2016,12,12
436,2016,12,13
409,2016,12,14
412,2016,12,15
335,2016,12,16
336,2016,12,17
174,2016,12,19
537,2016,12,20
504,2016,12,21
494,2016,12,22
434,2016,12,23
432,2016,12,27
453,2016,12,28
444,2016,12,29
432,2016,12,30
193,2016,12,31
217,2017,1,2
574,2017,1,3
428,2017,1,4
371,2017,1,5
324,2017,1,6
196,2017,1,7
131,2017,1,9
475,2017,1,10
387,2017,1,11
361,2017,1,12
396,2017,1,13
302,2017,1,14
134,2017,1,16
482,2017,1,17
410,2017,1,18
377,2017,1,19
419,2017,1,20
359,2017,1,21
138,2017,1,23
474,2017,1,24
428,2017,1,25
347,2017,1,26
421,2017,1,27
316,2017,1,28
167,2017,1,30
512,2017,1,31
489,2017,2,1
351,2017,2,2
419,2017,2,3
324,2017,2,4
164,2017,2,6
518,2017,2,7
414,2017,2,8
408,2017,2,9
446,2017,2,10
352,2017,2,11
176,2017,2,13
580,2017,2,14
453,2017,2,15
576,2017,2,17
420,2017,2,18
173,2017,2,20
594,2017,2,21
465,2017,2,22
475,2017,2,23
428,2017,2,24
369,2017,2,25
197,2017,2,27
606,2017,2,28
498,2017,3,1
479,2017,3,2
492,2017,3,3
416,2017,3,4
172,2017,3,6
546,2017,3,7
465,2017,3,8
469,2017,3,9
505,2017,3,10
205,2017,3,13
733,2017,3,14
655,2017,3,15
535,2017,3,16
605,2017,3,17
475,2017,3,18
200,2017,3,20
665,2017,3,21
535,2017,3,22
530,2017,3,23
565,2017,3,24
493,2017,3,25
218,2017,3,27
721,2017,3,28
635,2017,3,29
586,2017,3,30
431,2017,3,31
592,2017,4,1
299,2017,4,3
841,2017,4,4
663,2017,4,5
602,2017,4,6
583,2017,4,7
502,2017,4,8
100,2017,4,10
820,2017,4,11
651,2017,4,12
621,2017,4,13
671,2017,4,14
